rial_reward,dqn_reward,collisions,distance,winner,rial_smooth,dqn_smooth
-38.8427856311074,-77.68557126221478,0.0,2.3731554,rial,-47.46263181207978,-94.93859695749288
-36.68235607382602,-71.86471214765206,0.0,2.3784153,rial,-47.29764027916149,-94.60861389165632
-62.013236026595415,-124.02647205319082,0.0,1.7819033,rial,-47.455137492798116,-94.92360831892957
-53.189175232388976,-106.37835046477797,7.0,2.2428696,rial,-47.45460452981624,-94.92254239296581
-29.02264634613245,-58.045292692264894,0.0,2.563385,rial,-47.38810304938571,-94.78953943210475
-44.58133785890491,-87.16267571780982,3.0,2.994173,rial,-47.5164485163114,-95.03956369928946
-61.11748272886471,-122.23496545772946,2.0,1.9135786,rial,-47.70148153615299,-95.41629640563932
-64.34188958782468,-131.68377917564936,1.0,2.413089,rial,-48.12403348873994,-96.30140031081321
-57.036856932478244,-113.5737138649565,0.0,2.8274202,rial,-48.228085766249414,-96.5028381991655
-34.63691834047389,-69.2738366809478,0.0,2.4516397,rial,-47.978111753076455,-96.00289017281958
-50.35688535538789,-100.71377071077582,0.0,2.4941587,rial,-47.89983274619613,-95.86633215905894
-46.86375089038363,-92.22750178076724,1.0,2.1672442,rial,-47.867404767215874,-95.76814286776508
-35.79037901456601,-71.58075802913203,0.0,2.254913,rial,-47.62683890586435,-95.28701114506204
-54.528885961641976,-109.05777192328394,0.0,1.5202173,rial,-47.8757913780673,-95.79824942280126
-51.202178073588335,-100.9043561471767,0.0,2.108288,rial,-47.85957227193965,-95.74581121054595
-37.89691931763727,-78.79383863527455,0.0,2.2719223,rial,-47.650653382859694,-95.36797343238607
-71.12251149228076,-141.74502298456156,0.0,1.6609378,rial,-47.76857314959786,-95.61714629919572
-50.73810266199542,-101.47620532399087,0.0,2.14469,rial,-47.657972771207056,-95.39594554241413
-47.54727989003994,-94.59455978007985,6.0,2.4301207,rial,-47.814213368870604,-95.70176007107455
-57.36715235069019,-114.73430470138037,1.0,1.7465248,rial,-47.88487061072445,-95.8497412214489
-35.272516185834135,-70.54503237166828,0.0,2.400556,rial,-48.00904007790994,-96.10474682248653
-46.615600891027526,-93.23120178205511,0.0,2.261878,rial,-47.775402195308864,-95.65080439061774
-32.604693500418804,-65.2093870008376,0.0,1.7924778,rial,-47.847166480026345,-95.79433296005269
-34.954183034729574,-69.90836606945918,0.0,2.1955693,rial,-47.46699785373643,-95.03399570747285
-31.80239415293831,-63.10478830587662,1.0,1.4797422,rial,-47.39566862752792,-94.80467058838917
-62.07766028608067,-124.1553205721613,5.0,1.4878938,rial,-47.66484791219321,-95.34969582438643
-49.95713386788707,-98.91426773577416,0.0,2.06571,rial,-47.70335253175451,-95.42670506350902
-58.09332280171034,-117.68664560342067,0.0,2.8225083,rial,-47.91960987787851,-95.88588642242367
-55.916828813593845,-111.83365762718769,0.0,2.5806184,rial,-48.048889989079896,-96.17111331149313
-45.768955670958775,-91.53791134191758,3.0,1.7871403,rial,-47.8012677257482,-95.67586878482973
-31.39376735767169,-61.287534715343355,0.0,1.8733288,rial,-47.72756917072561,-95.50847167478454
-58.38436463841882,-116.76872927683766,0.0,1.4938705,rial,-47.83955301344625,-95.64577269355917
-55.054260056764385,-110.10852011352878,0.0,1.8980654,rial,-47.875926789540486,-95.71852024574764
